week_start	sub-ANM-0170/sub-ANM-0170_ses-20210905_behavior+ecephys.nwb	sub-ANM-0170/sub-ANM-0170_ses-20210906_behavior+ecephys.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210920_behavior+ecephys+ogen.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210922_behavior+ecephys+ogen.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210926_behavior+ecephys+ogen.nwb	sub-ANM-0172/sub-ANM-0172_ses-20210907_behavior+ecephys.nwb	sub-ANM-0173/sub-ANM-0173_ses-20210928_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211001_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211002_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211004_behavior+ecephys+ogen.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210909_behavior+ecephys.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210910_behavior+ecephys+ogen.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210915_behavior+ecephys+ogen.nwb	sub-ANM-0176/sub-ANM-0176_ses-20211108_behavior+ecephys.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211115_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211116_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211118_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211120_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211121_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211122_behavior+ecephys.nwb	sub-ANM-0179/sub-ANM-0179_ses-20211121_behavior+ecephys.nwb	sub-ANM-0180/sub-ANM-0180_ses-20211121_behavior+ecephys+ogen.nwb	sub-ANM-0180/sub-ANM-0180_ses-20211122_behavior+ecephys.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211118_behavior+ecephys+ogen.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211120_behavior+ecephys+ogen.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211121_behavior+ecephys.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211130_behavior+ecephys.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211202_behavior+ecephys+ogen.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211203_behavior+ecephys+ogen.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211130_behavior+ecephys.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211202_behavior+ecephys+ogen.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211203_behavior+ecephys+ogen.nwb
2024-12-02	0	0	0	0	0	0	19697144	0	0	0	0	0	0	0	60714648	0	0	0	0	0	0	52475424	0	0	0	0	21599936	0	0	55115688	0	0
2025-02-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60714648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	0	0	33574952	50400	50408	0	50400	50400	50400	50400	0	0	50400	10098352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8160	0	0	0
2025-04-21	36160032	21519224	34168536	24770696	43201760	10217484	19697144	38855000	50193200	65244056	18004728	34274584	12434984	10098352	60714648	59614672	19009576	41565896	31067288	34836896	16466232	52475424	15455916	33271448	20719304	29578308	21599936	13483768	25376664	55115688	97834184	31688656
2025-05-26	52345380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	97344	115392	134928	0	0	0	59856	58848	0	68688	61488	50736	63456	95952	110832	95184	57504	40464	26496	54480	115512	67320	39168	49488	53040	47736	112008	74424	75360	80640	140496	50688
2025-07-14	96613440	57696	67464	0	0	0	29928	29424	0	34344	30744	25368	31728	47976	55416	47592	28752	40464	26496	54480	115512	67320	39168	49488	53040	47736	112008	74424	75360	80640	140496	50688
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60714648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	21519224	34168536	24770696	0	0	19697144	38855000	0	0	18004728	0	12434984	0	0	59614672	0	0	0	0	0	0	0	33271448	0	29578308	0	13483768	25376664	0	0	0
2025-08-04	22799828	0	0	0	43201760	10217484	0	0	50193200	0	0	0	0	10098352	0	0	19009576	0	31067288	0	0	0	0	0	20719304	0	21599936	0	0	0	0	31688656
2025-08-11	0	0	0	0	0	0	0	0	0	65244056	0	0	0	0	0	0	0	41565896	0	34836896	0	0	15455916	0	0	0	0	0	0	55115688	97834184	0
2025-08-18	83294176	21519224	39933240	24770696	43201760	10217484	39394288	58703924	50193200	65244056	18004728	34274584	12434984	10098352	60714648	59614672	19009576	41565896	31067288	34836896	16466232	104950848	15455916	33271448	20719304	29578308	21599936	26967536	45487620	55115688	97834184	31688656
2025-08-25	0	0	0	24770696	0	0	0	38855000	50193200	0	0	0	0	10098352	0	59614672	0	0	31067288	0	0	0	15455916	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	20700528	63116192	10217484	0	0	38453196	0	0	34274584	0	10098352	0	0	19009576	0	0	0	16466232	0	0	7860960	4061496	49885788	34850256	0	0	0	97834184	0
