region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
EC/Santo Domingo de los Tsáchilas	51069986	24	24	0
EC/Sucumbíos	1599862	1	1	0
EC/Tungurahua Province	74945113	40	39	1
EC/Zamora Chinchipe	1008888	3	3	0
EE/Harjumaa	268465858	37	36	1
EE/Ida-Virumaa	2143707	1	1	0
EG/Alexandria	352584545	108	108	0
EG/Aswan	3386298	5	5	0
EG/Asyut	52568948	12	12	0
EG/Beheira	40629248	20	20	0
EG/Beni Suweif	2333371	4	4	0
EG/Cairo	961273486	282	276	2
EG/Dakahlia	76112270	39	39	0
EG/Damietta	48341223	14	14	0
EG/Faiyum	25703388	8	8	0
EG/Gharbia	65736494	35	35	0
EG/Giza	298812776	110	103	2
EG/Ismailia	13881429	10	10	0
EG/Kafr el-Sheikh	14094678	7	7	0
EG/Luxor	4645480	1	1	0
EG/Minya	33529488	8	7	1
EG/Monufia	41116322	14	14	0
EG/North Sinai	14238457	5	5	0
EG/Port Said	21735160	8	8	0
EG/Qalyubia	58037556	31	31	0
EG/Qena	20666099	6	6	0
EG/Red Sea	24620792	10	10	0
EG/Sharqia	12711387272	205118	217	6
EG/Sohag	29424100	10	10	0
EG/Suez	11209247	8	8	0
ES/Andalusia	30551026091	6181	643	39
ES/Aragon	70248854978	24	24	0
ES/Asturias	1416023911	23	23	0
ES/Balearic Islands	40913146	13	13	0
ES/Basque Country	3516547192	2594	53	5
ES/Canary Islands	9482402524	1513	1509	3
ES/Cantabria	18803617	13	13	0
ES/Castille and León	275909263	49	38	2
ES/Castille-La Mancha	99188450	52	50	2
ES/Catalonia	562228867718	58960	3812	231
ES/Ceuta	10579133639	6	6	0
ES/Extremadura	59852828	25	25	0
ES/Galicia	92845424	40	40	0
ES/La Rioja	4249354	4	4	0
ES/Madrid	185360456369	6511	3457	216
ES/Melilla	22706808	4	4	0
ES/Murcia	80322949	51	49	2
ES/Navarre	3104629110	15	10	3
ES/Valencia	5339593478	163	149	2
ET/Addis Ababa	1058787706	412	409	3
ET/Amhara	51894043	26	26	0
ET/Bīnshangul Gumuz	982620	1	1	0
ET/Central Ethiopia Regional State	13870160	4	4	0
ET/Dire Dawa	33489042	15	15	0
ET/Oromiya	109072548	65	65	0
ET/Sidama Region	18911383	13	13	0
ET/Somali	7841836	6	6	0
ET/South Ethiopia Regional State	15007438	4	4	0
ET/Tigray	29466412	11	11	0
FI/Central Finland	62025920	1	1	0
FI/North Ostrobothnia	4505223	5	5	0
FI/North Savo	88080072	3	3	0
FI/Pirkanmaa	139776906	7	7	0
FI/Satakunta	1680467	1	1	0
FI/Southwest Finland	98558187628	429	429	0
FI/Uusimaa	1732713597146	61682	18031	1296
FJ/Central	141869181	20	20	0
FJ/Western	5910272	5	5	0
FR/Bourgogne	17490399942	733	733	0
FR/Brittany	256551099	40	39	1
FR/Centre-Val de Loire	171393501	41	41	0
FR/Corsica	24104689	7	7	0
FR/Grand Est	117843572951	4684	740	46
FR/Hauts-de-France	7495127197	273	121	1
FR/Île-de-France	7817880114396	1865594	5342	474
FR/New Aquitaine	55881182471	5476	5278	26
FR/Normandy	66675442800	900	346	46
FR/Occitanie	7964218384	2655	1417	7
FR/Pays de la Loire	2950935502	47	47	0
FR/Provence-Alpes-Côte d'Azur	906838146555	14597	1512	445
FR/Rhône-Alpes	92533703789	210327	4968	119
GA/Estuaire	256281633	91	91	0
GA/Haut-Ogooué	2092680	1	1	0
GA/Moyen-Ogooué	4060438	5	5	0
GA/Ogooué-Maritime	3293940	4	4	0
GA/Woleu-Ntem	5110028	1	1	0
GB/England	11700495254676	1253596	908707	8844
GB/Northern Ireland	8658463065	46	46	0
GB/Scotland	509148217834	79165	18770	1626
GB/Wales	37394959840	109	107	2
GCP/asia-east1	3061879868040	234024	23254	3591
GCP/asia-northeast1	56023076	1	1	0
GCP/asia-northeast3	38769296464	2498	79	6
GCP/asia-south1	311291203486	16126	392	239
GCP/asia-southeast1	1557286019741	225696	33468	1258
GCP/australia-southeast1	61169508157	105	78	3
GCP/europe-central2	8717893797	25	25	0
GCP/europe-southwest1	30536832586	8052	242	8
GCP/europe-west1	61930571070	4100	856	208
GCP/europe-west2	839101541	289	105	3
GCP/europe-west3	518976647	211	103	5
GCP/europe-west4	4412040792921	342033	32215	2384
GCP/europe-west8	2760312	14	1	1
GCP/me-west1	15673496	2	2	0
GCP/northamerica-northeast1	252430312408	119	119	0
GCP/us-central1	17430619254861	1583570	145292	16989
GCP/us-east1	8144896854395	529417	73375	6249
GCP/us-east4	5218205096579	390485	43392	3822
GCP/us-east5	1734651113061	5217	764	85
GCP/us-south1	81748452359	260	39	13
GCP/us-west1	9479560357325	617441	71250	3868
GCP/us-west2	216369329855	40801	701	291
GCP/us-west3	1628522664274	177574	3251	1372
GCP/us-west4	3989778558427	284952	61039	3203
GD/Saint Andrew Parish	917112	1	1	0
GD/Saint George Parish	3613411	3	3	0
GE/Abkhazia	61135066	17	17	0
GE/Adjara	68912752	15	15	0
GE/Imereti	32298844	14	14	0
GE/Kakheti	3095120	2	2	0
GE/Kvemo Kartli	5603176	3	3	0
GE/Mtskheta-Mtianeti	9758024	6	6	0
GE/Samegrelo and Zemo Svaneti	126462086	15	15	0
GE/Samtskhe-Javakheti	12059416	2	2	0
GE/Shida Kartli	2589254	4	4	0
GE/Tbilisi	631801904	119	119	0
GF/Guyane	26902792	4	4	0
GH/Ashanti	39414293	21	21	0
GH/Greater Accra	608841761	78	77	1
GI/Gibraltar	2521832	2	2	0
GM/Banjul	1555316	2	2	0
GM/Western	7220432	6	6	0
GN/Conakry	7137998	7	7	0
GN/Kankan Region	2489304	2	2	0
GN/Kindia	1113636	1	1	0
GP/Guadeloupe	81412591	14	14	0
GQ/Litoral	1236	1	1	0
GR/Attica	27563323386	289	234	9
GR/Central Greece	23141953	6	6	0
GR/Central Macedonia	4237368043	174	41	2
GR/Crete	183567979	5	5	0
GR/East Macedonia and Thrace	296100747	27	3	1
GR/Epirus	8537364	3	3	0
GR/Ionian Islands	137377799	929	6	2
GR/North Aegean	1288634	1	1	0
GR/Peloponnese	1128188	1	1	0
GR/South Aegean	2589700	3	3	0
GR/Thessaly	9728369266	12772	21	17
GR/West Greece	5830613	3	3	0
GR/West Macedonia	4716576	1	1	0
GT/Baja Verapaz	2920016	1	1	0
GT/Chiquimula	102264304	10	10	0
GT/Guatemala	503401206	128	102	2
GT/Huehuetenango	15313840	2	2	0
GT/Petén	7074864	1	1	0
GT/Quetzaltenango	12580621	5	5	0
GT/Sacatepéquez	6681816	1	1	0
GT/San Marcos	813756	1	1	0
GT/Sololá	1364524	3	3	0
GT/Zacapa	1376556	1	1	0
GU/Dededo	1515676	1	1	0
GU/Tamuning	1489372	1	1	0
GW/Bissau	2702948	2	2	0
GY/Demerara-Mahaica	172902378	72	72	0
GY/Mahaica-Berbice	1061824	1	1	0
GY/Potaro-Siparuni	1834224	1	1	0
GY/Upper Demerara-Berbice	2144056	1	1	0
GitHub	99171914143414	120989657	6744879	2011540
HK/Central and Western	27907490422	45	32	3
HK/Eastern District	4338184391	8	8	0
HK/Hong Kong	24533033836778	2491569	48206	26499
HK/Islands	1500094660074	1439	1295	68
HK/Kowloon City	73609544	2	2	0
HK/Kwai Tsing District	63817474286	1637	1489	25
HK/Kwun Tong District	40866838843	1286	1286	0
HK/Sai Kung District	1229	1	1	0
HK/Sha Tin	857178186817	65	65	0
HK/Sham Shui Po District	5351667	195	173	9
HK/Southern District	1978936	2	2	0
HK/Tai Po	1061824	1	1	0
HK/Tsuen Wan	65833066739	304	90	57
HK/Tuen Mun	862732	1	1	0
HK/Wong Tai Sin District	2762535	3	3	0
HK/Yau Tsim Mong District	3949059108	802	800	2
