week_start	sub-128514/sub-128514_ses-128514-20191215-probe0_behavior+ecephys+ogen.nwb	sub-128515/sub-128515_ses-128515-20191216-probe0_ecephys+ogen.nwb	sub-128516/sub-128516_ses-128516-20191215-probe0_ecephys+ogen.nwb	sub-147463/sub-147463_ses-147463-20191113-probe0_ecephys+ogen.nwb	sub-147465/sub-147465_ses-147465-20191113-probe0_ecephys+ogen.nwb	sub-152414/sub-152414_ses-152414-20191023-probe0_ecephys+ogen.nwb	sub-152417/sub-152417_ses-152417-20191023-probe0_ecephys+ogen.nwb	sub-152419/sub-152419_ses-152419-20191106-probe0_ecephys+ogen.nwb	sub-156130/sub-156130_ses-156130-20191112-probe0_ecephys+ogen.nwb	sub-156131/sub-156131_ses-156131-20191112-probe0_ecephys+ogen.nwb	sub-216300/sub-216300_ses-216300-20200518-probe0_ecephys+ogen.nwb	sub-216301/sub-216301_ses-216301-20200521-probe0_ecephys+ogen.nwb	sub-225757/sub-225757_ses-225757-20200519-probe0_ecephys+ogen.nwb	sub-225758/sub-225758_ses-225758-20200519-probe0_ecephys+ogen.nwb	sub-225759/sub-225759_ses-225759-20200521-probe0_ecephys+ogen.nwb	sub-258412/sub-258412_ses-258412-20200915-probe0_ecephys+ogen.nwb	sub-258414/sub-258414_ses-258414-20200915-probe0_ecephys+ogen.nwb	sub-258416/sub-258416_ses-258416-20200921-probe0_ecephys+ogen.nwb	sub-258419/sub-258419_ses-258419-20200921-probe0_ecephys+ogen.nwb	sub-259112/sub-259112_ses-259112-20200914-probe0_ecephys+ogen.nwb	sub-268947/sub-268947_ses-268947-20200922-probe0_ecephys+ogen.nwb	sub-268951/sub-268951_ses-268951-20200922-probe0_ecephys+ogen.nwb	sub-273853/sub-273853_ses-273853-20200925-probe0_ecephys+ogen.nwb	sub-273855/sub-273855_ses-273855-20200928-probe0_ecephys+ogen.nwb	sub-273858/sub-273858_ses-273858-20200925-probe0_ecephys+ogen.nwb
2025-01-06	77918692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	3720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	7492094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	14804808	28495980	0	14870316	14804808	20045448	5123477972	0	0	0	14804808	0	0	11791440	0	33474588	14870316	0	0	26399724	0	33540096	0	14084220
2025-03-10	0	0	0	0	0	0	0	716800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	14397256	214656	213888	236288	52552	144192	144936	0	106240	106208	54992	106880	160728	53576	109056	61424	106720	127248	106352	0	108400	140688	106528	160080	122736
2025-07-14	7279088	107328	53472	59072	52552	48064	0	52320	0	53104	109984	53440	53576	53576	109056	61424	160080	190872	106352	106816	54200	70344	0	0	61368
2025-07-21	0	16	0	0	0	0	0	2554466772	0	0	0	0	0	0	0	0	0	1929599819	0	0	0	0	0	0	0
2025-07-28	0	0	0	2758461852	0	0	1950754845	0	0	0	20971520	0	0	0	2010898672	17949192	0	0	15525396	0	0	0	19652400	17752668	17163096
2025-08-04	31724409	2569011200	2097152000	0	0	0	0	0	3648143808	0	0	0	3247387592	0	0	1310720000	1153433600	0	0	2673868800	1468006400	0	1707806090	1408728271	0
2025-08-11	2306867200	0	0	0	2005920519	1975412044	0	0	0	3040870400	0	2218552713	0	2464153600	0	0	0	0	1205862400	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	0	2569011200	0	0	0	0	0	0	0	0	0	0	1964642096	0	0	0
2025-08-25	2796271871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310720000	0
2025-09-01	0	0	0	0	0	2306867200	0	0	0	0	0	2149580800	0	0	0	0	838860800	0	0	0	0	0	0	0	1258291200
2025-09-08	0	0	0	2359296000	0	0	0	0	2778726400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	13652592	11829732	8120604	18118500	0	15891228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	362055090	2252800	5523712	0	0	5253404	9565568	10695056	11326008	10302008	5523712	5916760	10916408	9249392	1331200	7330020	10367516	10441300	11178440	12140020	6789404	9511424	10637824	9445916	7264512
2025-10-13	12005916	8188500	2161764	1126400	9576932	11685952	3276800	6633560	14560028	5282020	15108920	13974244	11288416	14830336	12640656	14191108	10743312	12890624	6985928	3993600	8120604	12577536	6379804	6379804	3697764
2025-10-20	0	5253404	1331200	5253404	4454544	0	4127004	0	4192512	5151004	4127004	5654728	0	1126400	4127004	5151004	4323528	4127004	1331200	0	4127004	0	4127004	0	4127004
2025-10-27	30580584	13572920	14102872	28861812	21996236	17279660	11530808	15149600	17632028	33533220	12902688	17902336	16288064	17279660	3993600	23010560	17132092	2252800	12444132	20501616	20894664	30774308	8632604	17896448	20628144
2025-11-03	39284172	36078768	43251544	38096752	36970352	39092136	44485532	19745536	39487572	34533092	25718828	35390584	35542640	40822560	41024272	41566576	53161492	37914680	42334432	26614900	42444408	33498428	42107192	39525164	27718572
2025-11-10	20212368	26922100	36658664	22860604	31311136	38136732	45404044	37539584	27041052	44121388	19757600	23292644	32335136	35503648	31373556	31430088	26713512	38424292	38120880	31745564	39061420	27642688	34193488	49980916	31911084
2025-11-17	16347396	7571712	11746972	11673188	13441904	19284880	20374388	15142724	19645524	8223004	14975516	7051436	10981916	10637824	16636644	4096000	15911568	29595164	19301432	16571136	14910008	19153864	26529052	23935948	17185536
2025-11-24	17347968	11633208	15632984	22140016	7506204	17634416	20507504	17001076	21062572	17501012	23491556	15305444	22356880	23071580	18164368	19211096	17097588	24538284	21961444	21156696	13578808	23006072	17476184	7506204	17513076
2025-12-01	27016224	13283672	11571488	15760212	26778320	21930728	22797484	24575876	11260500	11719056	8186112	21963832	12771672	7506204	18297772	12350008	16042584	23397432	24694128	20894664	10981916	12353796	17279660	8632604	14791056
2025-12-08	14373180	10572316	19170416	11474976	6379804	2252800	15788828	2867564720	15518520	23403608	14168380	16070500	7051436	20214756	20611592	9605548	16477012	20018232	19628972	16505628	19497956	15223384	10637824	15760212	21574572
2025-12-15	4913701747	5040348477	5217128949	6170184372	4808149839	7947242620	6704735165	5133779980	28268452	5660037589	26352868	9802200258	28884252	30119228	5058527831	5191000902	2933546959	1358943567	3771188764	7522762380	7342966904	3862048876	3574112462	3858092955	7121464154
2025-12-22	0	0	0	0	2548039680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	6101220	4192512	2481213440	5318912	0	0	1638400	1024000	0	2528209309	5916760	1331200	5458204	4127004	3003685519	0	1024000	1126400	1374885372	1331200	5654728	1126400	4127004	1126400	0
2026-01-05	22674744	2842836193	24759636	14961352	24800316	20083740	14938624	11457024	22241716	26885908	14037364	26418376	13578808	29857196	18098860	29309704	18090584	16022244	19104908	24476564	10783004	9380408	1349745150	19743436	14113536
2026-01-12	0	0	0	0	10166652826	0	14430162679	5133963732	0	0	0	4892421513	0	0	0	1748273716	0	4456667979	0	0	0	645053292	0	0	0
2026-01-19	16067412	14764828	5185759216	5580944	11895240	2252800	10680604	20455748	14822060	11719056	1331200	12247608	15764000	13167108	12771672	6306020	20890176	9642440	9585208	19563464	2018858964	1428291664	15956736	15825720	7199004
2026-01-26	12595488	12890624	8251620	2459259308	10703332	7768236	9042204	12463772	2539903092	10433024	2231319640	2189158684	2389977972	2705412636	14977904	14560028	24927544	15812956	21025680	1278323006	16505628	16402528	17765432	1681848604	1200967207
2026-02-02	2008750364	5253404	11833520	4323528	8581548	1508017912	4389036	9278008	0	1024000	5523712	49173080	9716224	4127004	0	10498532	1482005623	20345772	16309104	7226920	1331200	6379804	13638428	9642440	3072000
2026-02-09	15141324	9838964	14037364	5842976	9380408	10768840	11071552	8354020	9343516	3072000	10916408	8120604	9716224	12512028	13908736	5151004	5347528	11030872	15043412	15567476	7051436	9314900	10100996	11358412	5728512
2026-02-16	13425352	14355228	10433024	17630628	2252800	12071424	5896420	0	15080304	22899884	9105612	13974244	5458204	4127004	0	4127004	1024000	0	0	4127004	0	4323528	0	2252800	4127004
2026-02-23	10293732	14961352	15305444	9642440	6363252	6687004	10283068	16190152	12708552	15145812	14338676	25692600	6920420	10637824	15239936	7915804	6408420	22643740	21218416	1179794744	11764224	21975896	24779976	6445312	25668472
2026-03-02	0	0	0	0	0	0	0	0	0	0	0	0	1331200	1126400	3799464	0	4127004	0	0	0	0	0	0	0	0
2026-03-09	3993600	1024000	0	5711960	1024000	1965240	8122992	0	8057484	819200	921600	921600	0	1179144	0	1638400	3669148	9957216	20668124	819200	9138716	1126400	0	5253404	10088232
2026-03-16	1843200	4127004	2706868	5515436	1650464	4258020	10809520	5216512	6568052	6175004	6440824	5916760	1855264	1179144	20307480	0	0	1126400	6571840	4213552	5916760	4782084	9118376	0	4651068
