week_start	sub-BWRat17/sub-BWRat17_ses-BWRat17-121712_ecephys.nwb	sub-BWRat17/sub-BWRat17_ses-BWRat17-121912_ecephys.nwb	sub-BWRat18/sub-BWRat18_ses-BWRat18-020513_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032413_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032513_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101013_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101513_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121113_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121613_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121813_ecephys.nwb	sub-Bogey/sub-Bogey_ses-Bogey-012615_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061814_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061914_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-062014_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072114_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072314_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072414_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022615_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022715_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020515_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020915_ecephys.nwb	sub-Templeton/sub-Templeton_ses-Templeton-032415_ecephys.nwb
2024-10-07	96972664	101817236	109050912	99096312	100954504	100224500	97039028	97238120	101153596	114758216	101750872	0	0	0	0	0	0	100290864	97835396	97370848	99826316	21322402532
2024-10-14	0	0	0	0	0	0	0	9622780	0	0	0	0	0	0	0	0	0	0	0	0	0	10612482660
2024-10-21	104569585	81086720	113267340	153221869	157875177	136604893	139911869	0	90263776	0	0	0	0	0	0	0	0	7167312	0	0	0	39544592272
2024-10-28	216372846	170402576	233502900	160920093	165706129	143307657	147941913	140659523	124375492	126031577	204767488	30178130896	269686782	251526440	236541649	232547899	258793168	90422272	173395336	6636400	5242756	250195524
2024-11-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21224965320
2024-11-11	0	0	0	0	0	0	4114568	0	0	0	9149452836	45193884	0	0	0	0	0	0	0	0	0	0
2024-11-18	22144014	29070156	30629940	40543238	34489590	32086862	47550658	29209754	22968824	20198318	44192848	17675967984	52348940	58735608	24136982	0	10750968	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1769312555
2024-12-02	11945520	0	0	0	0	0	0	0	0	0	0	80116208	0	0	0	0	0	13870076	0	0	0	82515868
2024-12-16	0	846786648	1616883248	0	1161210860	0	1030314261	0	1028093996	0	1327007712	1593010672	0	0	0	0	0	892138596	0	824989968	0	75578152492
2024-12-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40442548
2024-12-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95512343940
2025-01-06	0	267772976	566690000	0	454157360	0	447842277	0	469622076	0	539877180	650742052	0	0	0	0	0	378806052	0	312570773	0	568881328
2025-01-13	0	296523616	371946816	0	304074828	0	483541722	0	464260876	0	351090196	706935136	0	0	0	0	0	396091060	0	348206590	0	373325216
2025-01-20	0	3088653888	4087361008	0	2954696276	0	5502859010	0	5209825432	0	8170644376	8442661912	0	0	0	0	0	5254876796	0	5318921993	0	6316288796
2025-01-27	0	5502571616	4053214888	0	738466540	0	579447621	0	495568204	0	770333356	1723769024	0	0	0	0	0	1008469832	0	1175465962	0	75094512392
2025-02-03	0	3342889228	1592280376	0	533710032	0	66956101	0	47433036	0	62020268	79686684	0	0	0	0	0	56882744	0	44836069	0	63758972956
2025-02-10	1589844645	3441461200	52307572	55235340	54418540	50689924	46892912	41603916	50299436	56890036	61038320	53876580	71164372	52725820	71316384	56499996	74625172	11125495744	39109740	44825056	52170652	44209664
2025-02-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10612482660
2025-02-24	0	0	26612476	4180932	9689144	0	0	9821872	0	0	4114568	0	0	0	0	0	6171852	0	0	9755508	4114568	54901578116
2025-03-03	0	1648749968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3498181024
2025-03-10	96891440	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32380267136
2025-03-17	0	524129936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	0	2825340588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10612482660
2025-04-21	292724680	321792112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	0	7113296160	437844568	0	307009996	0	434249242	0	112487556	0	24074096	29613868	0	0	0	0	0	15991716	0	23013285	0	24144620
2025-05-12	0	0	0	0	0	0	0	0	0	0	0	0	10485760	10485760	10485760	0	0	10485760	10485760	10485760	0	10485760
2025-05-19	0	510402524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	1124560336	524737148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-02	0	510999800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	0	1733817396	651217032	0	483841400	0	0	0	0	0	1567906476	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	0	3605008492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	123866712	60171336	35000400	122288136	75485016	216042384	113552400	283766704	55977936	37222248	290383728	213288648	476478312	594366184	363862112	279885192	301030368	140245152	295743160	364365840	187385808	440989344
2025-06-30	1655929169	2841544024	2611199100	3229662257	2438420009	5402671309	5346091709	7572209835	4310782176	4276733437	9149452836	8807934635	11703209418	15133028824	9571390129	7115520367	8346698940	11137964568	10138436504	9620964589	6237665318	12470835184
2025-07-14	41288904	39058984	35000400	122288136	75485016	216042384	113552400	283766704	55977936	37222248	290383728	213288648	476478312	594366184	363862112	279885192	301030368	140245152	295743160	364365840	187385808	440989344
2025-07-21	0	0	0	0	0	5279870173	0	0	0	0	0	0	0	0	0	0	0	11076844316	0	0	0	0
2025-07-28	0	0	0	0	0	0	5346091709	0	0	4276733437	0	8807934635	11647068450	0	9571390129	0	0	0	10100622892	9619851013	0	10612482660
2025-08-04	0	0	2924124684	0	0	0	0	0	0	0	9149452836	0	0	14960791468	0	0	0	0	0	0	0	0
2025-08-11	1530632945	0	0	0	0	5279870173	0	7572209835	4310782176	0	0	0	0	0	0	7115520367	8346698940	0	0	0	6206050302	0
2025-08-25	0	0	0	0	0	0	0	0	0	4276733437	0	0	0	0	9571390129	0	0	0	10100622892	0	0	0
2025-09-01	0	4411349760	0	3104963309	0	0	0	7572209835	0	0	0	0	0	0	0	0	8346698940	0	0	0	6206050302	0
