week_start	sub-Jaq/sub-Jaq_ses-jaq-01_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-02_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-03_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-01_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-02_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-05_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-06_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-01_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-02_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-03_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-04_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-05_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-01_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-01_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-03_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-04_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-05_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-06_behavior+ecephys.nwb
2026-01-12	8808865640	0	0	15423153100	13803209556	0	0	0	0	11660639008	0	0	16755242148	0	11153013336	4850049432	0	0	0	0	13272787100	59912165628
2026-01-19	38621040	129844266748	55293016	32842232	35825060	158026329376	39858344	43276348	35745604	41552088	43098308	56655672	44510896	43135400	37506548	13246468428	41944592	41988868	56726392	38705604	42366200	39864192
2026-01-26	80748625968	94878720	182825279930	66131658	53639328	60896412	77004966845	97945203028	54928566	61280004	81400247248	191222646556	67552440	64375560	55113432	61643844	95239451260	63802152	196552382416	84161201560	101707417268	59861796
2026-02-02	39276120	43578244	55555048	33366296	167042289988	40532100	40316900	43669396	105873818063	41093532	41853656	55869576	44903944	79428904504	36916976	40855700	41092988	94194550336	56791900	38771112	41711120	39405636
2026-02-09	124792732	43905784	55555048	33300788	37004204	513908544	39727328	43472872	35745604	41879628	42508736	56131608	45624532	42480320	36982484	40921208	41355020	41988868	56464360	38574588	41580104	39667668
2026-02-16	31994944	36209508	28236080	32413694	17552236	20626344	19896418	21539912	17807294	20579520	21057844	27869280	22714004	21567700	34492096	20460604	36154300	35021772	42251592	32725060	37675264	35236840
2026-02-23	50110524	55111508	71016002	41757001	44240884	51303828	41299520	53888644	44518235	41617596	41984672	70459296	68666076	44314544	37113500	50987740	41748068	41792344	56267836	49217232	52335424	40388256
2026-03-02	1064287932	2130706432	0	17294112	0	0	2140949427	11294020	0	0	2141530140	0	0	2130706432	9556784	2130706432	10355132	2141056256	14083336	2130706432	2130706432	10293588
2026-03-09	141063820	8573157376	0	0	10219248	0	8573157376	0	0	10486284	8573157376	0	0	8584170504	9826200	8573157376	0	8573157376	0	8573157376	8573157376	0
2026-03-16	137815815912	48814002684	79149952178	29162422	50298420	20233296	16424494	21932960	14597402	38725236	17913460	27803772	46034852	21502192	37521316	41685196	21103312	20896172	28297688	15651600	19152352	38929416
2026-03-23	80545893056	108411407596	112271463100	77818339177	106883224780	108359431080	76944950051	0	105837875935	80879671648	66163080	59350248	0	0	0	0	7418956	7185540	0	0	32819508	44660390252
2026-03-30	0	1637340000	1379189300	0	924166552	1156376084	0	0	0	0	0	0	0	0	7664436	52209876	0	57450516	0	0	0	64220003560
2026-04-06	0	2453112	0	0	0	3690188	0	0	0	0	0	0	0	0	0	0	3178188	0	0	0	0	11326008
2026-04-13	0	60922440	0	0	59546772	0	0	0	0	0	0	0	0	0	0	15197856	0	0	0	0	0	0
2026-04-20	73266616	0	0	29675124	74332040	0	0	0	0	26465232	0	0	32360952	0	39370308	18997320	0	0	0	0	0	33343572
2026-04-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6747324	0	0	0	0	0	0	806189312
2026-05-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11660424	0	0	0
2026-05-11	0	9109468	0	0	0	0	0	0	0	0	0	0	0	10751096	9294752	0	0	294045108	10676920	0	7086872	10031556
2026-05-18	9671056	10588168	6403932	25922721	26208394	9810348	9875856	6199132	2792716	22911948	13092360	6748024	28471492	9875856	14854464	16050816	9875856	16810988	10285456	9671056	9810348	28153144
2026-05-25	6248844	4034636	15024792	4406081	5057664	4931840	11313470	11588872	10026994	11820388	4492160	10462716	5107164	7150544	4445760	12345144	11558084	4673356	5240744	4278692	4972664	4212008
2026-06-01	0	0	11070852	0	5402456	6841248	0	0	0	0	0	0	3013368	0	26006676	12905076	0	0	0	6122592	0	5250316
2026-06-08	0	0	0	0	1965240	0	0	0	1965240	1113636	0	0	0	0	0	0	5348928	3382988	8195788	6474628	5160680	71212793
2026-06-15	7296972	16057172	11530474	5901401	18070124	7758360	7622675	15971732	6479851	37087536	13871580	11445336	8769436	8261792	6870956	15563684	7865828	8057044	11790556	7236228	14958208	12513984
